tag,company,last_update,last_values
ARYA,ARYA Sciences Acquisition Corp III Class A Ordinary Shares,2000-01-01,0
ARYD,ARYA Sciences Acquisition Corp IV Class A Odinary Shares,2000-01-01,0
ASAX,Astrea Acquisition Corp. Class A Common Stock,2000-01-01,0
ASAXU,Astrea Acquisition Corp. Unit,2000-01-01,0
ASAXW,Astrea Acquisition Corp. Warrant,2000-01-01,0
ASLE,AerSale Corporation Common Stock,2000-01-01,0
ASLEW,AerSale Corporation Warrants,2000-01-01,0
ASLN,ASLAN Pharmaceuticals Limited American Depositary Shares,2000-01-01,0
ASMB,Assembly Biosciences Inc. Common Stock,2000-01-01,0
ASML,ASML Holding N.V. New York Registry Shares,2000-01-01,0
ASND,Ascendis Pharma A/S American Depositary Shares,2000-01-01,0
ASO,Academy Sports and Outdoors Inc. Common Stock,2000-01-01,0
ASPC,Alpha Capital Acquisition Company One Class A Ordinary Share,2000-01-01,0
ASPCU,Alpha Capital Acquisition Company Unit,2000-01-01,0
ASPCW,Alpha Capital Acquisition Company Warrant,2000-01-01,0
ASPS,Altisource Portfolio Solutions S.A. Common Stock,2000-01-01,0
ASPU,Aspen Group Inc. Common Stock,2000-01-01,0
ASRT,Assertio Holdings Inc. Common Stock,2000-01-01,0
ASRV,AmeriServ Financial Inc. Common Stock,2000-01-01,0
ASRVP,AmeriServ Financial Inc. AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities Series A,2000-01-01,0
ASTC,Astrotech Corporation (DE) Common Stock,2000-01-01,0
ASTE,Astec Industries Inc. Common Stock,2000-01-01,0
ASTS,AST SpaceMobile Inc. Class A Common Stock,2000-01-01,0
ASTSW,AST SpaceMobile Inc. Warrant,2000-01-01,0
ASUR,Asure Software Inc Common Stock,2000-01-01,0
ASYS,Amtech Systems Inc. Common Stock,2000-01-01,0
ATAX,America First Multifamily Investors L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests,2000-01-01,0
ATCOL,Atlas Corp. 7.125% Notes due 2027,2000-01-01,0
ATCX,Atlas Technical Consultants Inc. Class A Common Stock,2000-01-01,0
ATEC,Alphatec Holdings Inc. Common Stock,2000-01-01,0
ATER,Aterian Inc. Common Stock,2000-01-01,0
ATEX,Anterix Inc. Common Stock,2000-01-01,0
ATHA,Athira Pharma Inc. Common Stock,2000-01-01,0
ATHE,Alterity Therapeutics Limited American Depositary Shares,2000-01-01,0
ATHX,Athersys Inc. Common Stock,2000-01-01,0
ATIF,ATIF Holdings Limited Ordinary Shares,2000-01-01,0
ATLC,Atlanticus Holdings Corporation Common Stock,2000-01-01,0
ATLO,Ames National Corporation Common Stock,2000-01-01,0
ATNF,180 Life Sciences Corp. Common Stock,2000-01-01,0
ATNFW,180 Life Sciences Corp. Warrant,2000-01-01,0
ATNI,ATN International Inc. Common Stock,2000-01-01,0
ATNX,Athenex Inc. Common Stock,2000-01-01,0
ATOM,Atomera Incorporated Common Stock,2000-01-01,0
ATOS,Atossa Therapeutics Inc. Common Stock,2000-01-01,0
ATRA,Atara Biotherapeutics Inc. Common Stock,2000-01-01,0
ATRC,AtriCure Inc. Common Stock,2000-01-01,0
ATRI,Atrion Corporation Common Stock,2000-01-01,0
ATRO,Astronics Corporation Common Stock,2000-01-01,0
ATRS,Antares Pharma Inc. Common Stock,2000-01-01,0
ATSG,Air Transport Services Group Inc,2000-01-01,0
ATSPT,Archimedes Tech SPAC Partners Co. Subunit,2000-01-01,0
ATSPU,Archimedes Tech SPAC Partners Co. Unit,2000-01-01,0
ATSPW,Archimedes Tech SPAC Partners Co. Warrant,2000-01-01,0
ATVC,Tribe Capital Growth Corp I Class A common stock,2000-01-01,0
ATVCU,Tribe Capital Growth Corp I Units,2000-01-01,0
ATVCW,Tribe Capital Growth Corp I Warrant,2000-01-01,0
ATVI,Activision Blizzard Inc. Common Stock,2000-01-01,0
ATXI,Avenue Therapeutics Inc. Common Stock,2000-01-01,0
AUB,Atlantic Union Bankshares Corporation Common Stock,2000-01-01,0
AUBAP,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A,2000-01-01,0
AUBN,Auburn National Bancorporation Inc. Common Stock,2000-01-01,0
AUDC,AudioCodes Ltd. Common Stock,2000-01-01,0
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,2000-01-01,0
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,2000-01-01,0
AURCU,Aurora Acquisition Corp. Unit,2000-01-01,0
AURCW,Aurora Acquisition Corp. Warrant,2000-01-01,0
AUTL,Autolus Therapeutics plc American Depositary Share,2000-01-01,0
AUTO,AutoWeb Inc. Common Stock,2000-01-01,0
AUUD,Auddia Inc. Common Stock,2000-01-01,0
AUUDW,Auddia Inc. Warrants,2000-01-01,0
AUVI,Applied UV Inc. Common Stock,2000-01-01,0
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,2000-01-01,0
AVAV,AeroVironment Inc. Common Stock,2000-01-01,0
AVCO,Avalon GloboCare Corp. Common Stock,2000-01-01,0
